nf_calories,nf_sodium,nf_dietary_fiber,nf_protein,nf_vitamin_a_dv,nf_vitamin_c_dv,nf_calcium_dv,nf_iron_dv,nf_serving_weight_grams,key_ingredient
5,1.46,0.41,0.12,0.21,1.24,1.26,0.75,1.9,Allspice
12.1,0.38,0,0,0,0,0.05,0.03,4.2,Almond Extract
56.04,9.59,0.63,1.06,0,0,2,1,248.8,Almond Milk
36.54,1760,,2,,,,,100,Ancho Chillies
195.38,5600,0,22,,,,,100,Anchovy Fillet
50.19,11.95,0,0,0,0,1.67,2.66,239,Apple Cider Vinegar
16.5,10.5,1.5,1.8,15.09,9.63,1.72,3.79,75,Asparagus
34.65,0.99,2.48,0.82,0.73,2.15,0.59,1.38,99,Aubergine
233.6,10.22,9.78,2.92,4.26,24.33,1.75,4.46,146,Avocado
37.02,80,1.4,2,,,,,200,Baby Plum Tomatoes
44.39,177.63,0,2.89,0,0,0,1,8.1,Bacon
2.43,2.25,0.06,0,0,0,10.83,1.13,2.5,Baking Powder
4.66,1.22,,0.03,0,0,0.14,0.21,5.3,Balsamic Vinegar
9.75,1.7,0.68,1.34,45,13,8,7,42.4,Basil
1.38,0.24,0.1,0.19,6.33,1.8,1.06,1.06,6,Basil Leaves
205.4,1.58,0.63,4.25,0,0,1.58,10.53,158,Basmati Rice
0.63,0.05,0.05,0.02,0.25,0.16,0.17,0.48,0.2,Bay Leaf
5.63,0.41,0.47,0.14,2.23,1.39,1.5,4.3,1.8,Bay Leaves
308.45,103.19,0,30.62,0.2,0,3.18,17.52,113.4,Beef
380,100,0,26,0,0,2,15,151,Beef Brisket
15,450,,0.5,,10,,,5,Beef Fillet
123.49,1304.8,0.93,8.74,0.14,0,1.4,9.06,233,Beef Gravy
31.2,475.2,0,4.73,0,0,1.92,3.6,240,Beef Stock
0,160,,0,0,0,0,0,0.6,Bicarbonate Of Soda
21,995,1,1,13,0,2,3,8,Biryani Masala
5.77,0.46,0.58,0.24,0.25,0,1.02,1.24,2.3,Black Pepper
294.26,100,0,1.7,,,,,100,Black Treacle
115.84,40,7.7,9,,,,,123,Borlotti Beans
169.06,1.07,1.92,6.2,0,0,0.75,7.61,107,Bowtie Pasta
84,,2.8,1,,,,,100,Bramley Apples
97.02,0.42,0,0,0,0,0,0.09,42,Brandy
79.8,147,0.81,2.66,0.01,0,4.32,6.02,30,Bread
426.6,790.56,4.86,14.42,0,0,19.76,28.98,108,Breadcrumbs
27.3,31.98,2.57,1.86,24.15,84.37,3.12,2.9,78,Broccoli
225.72,471.24,15.64,17.86,0.32,4.95,3.76,36.63,198,Brown Lentils
109.2,0.98,1.75,2.26,0,0,0.98,2.87,97.5,Brown Rice
551,40.6,0,0.17,0,0,12.04,5.72,145,Brown Sugar
810.21,726.59,0,0.96,56.48,0,2.71,0.13,113,Butter
28.7,0,1.4,1.4,0,0,0,14,7,Cacao
5,70,0,0,,,,,,Cajun
30.4,218.5,3.61,1.5,15.5,39.9,6.27,6.02,190,Canned Tomatoes
78.1,2,9.9,5.5,,,,,80,Cannellini Beans
18.04,1.04,1.62,0.62,0,2.03,2.22,4.5,5.8,Cardamom
27.3,45.24,2.34,0.59,265.71,4.68,2.34,1.47,78,Carrots
786.38,876.8,4.11,20.97,0,0,6.17,45.67,137,Cashew Nuts
786.38,876.8,4.11,20.97,0,0,6.17,45.67,137,Cashews
16.24,0,,0,,,,,4,Caster Sugar
