"Calcium	mg/day","Fibre	g/day","Iron	mg/day","Protein	g/day","Sodium	mg/day","Vitamin A	_g/day","Vitamin C	mg/day",age,gender
500,14,9,14,200-400,300,35,1,female
500,14,9,14,200-400,300,35,2,female
500,14,9,14,200-400,300,35,3,female
700,18,10,20,300-600,400,35,4,female
700,18,10,20,300-600,400,35,5,female
700,18,10,20,300-600,400,35,6,female
700,18,10,20,300-600,400,35,7,female
700,18,10,20,300-600,400,35,8,female
1000,20,8,35,400-800,600,40,9,female
1000,20,8,35,400-800,600,40,10,female
1000,20,8,35,400-800,600,40,11,female
1300,20,8,35,400-800,600,40,12,female
1300,20,8,35,400-800,600,40,13,female
1300,22,15,45,460-920,700,40,14,female
1300,22,15,45,460-920,700,40,15,female
1300,22,15,45,460-920,700,40,16,female
1300,22,15,45,460-920,700,40,17,female
1300,22,15,45,460-920,700,40,18,female
1000,25,18,46,460-920,700,45,19,female
1000,25,18,46,460-920,700,45,20,female
1000,25,18,46,460-920,700,45,21,female
1000,25,18,46,460-920,700,45,22,female
1000,25,18,46,460-920,700,45,23,female
1000,25,18,46,460-920,700,45,24,female
1000,25,18,46,460-920,700,45,25,female
1000,25,18,46,460-920,700,45,26,female
1000,25,18,46,460-920,700,45,27,female
1000,25,18,46,460-920,700,45,28,female
1000,25,18,46,460-920,700,45,29,female
1000,25,18,46,460-920,700,45,30,female
1000,25,18,46,460-920,700,45,31,female
1000,25,18,46,460-920,700,45,32,female
1000,25,18,46,460-920,700,45,33,female
1000,25,18,46,460-920,700,45,34,female
1000,25,18,46,460-920,700,45,35,female
1000,25,18,46,460-920,700,45,36,female
1000,25,18,46,460-920,700,45,37,female
1000,25,18,46,460-920,700,45,38,female
1000,25,18,46,460-920,700,45,39,female
1000,25,18,46,460-920,700,45,40,female
1000,25,18,46,460-920,700,45,41,female
1000,25,18,46,460-920,700,45,42,female
1000,25,18,46,460-920,700,45,43,female
1000,25,18,46,460-920,700,45,44,female
1000,25,18,46,460-920,700,45,45,female
1000,25,18,46,460-920,700,45,46,female
1000,25,18,46,460-920,700,45,47,female
1000,25,18,46,460-920,700,45,48,female
1000,25,18,46,460-920,700,45,49,female
1000,25,18,46,460-920,700,45,50,female
1300,25,8,46,460-920,700,45,51,female
1300,25,8,46,460-920,700,45,52,female
1300,25,8,46,460-920,700,45,53,female
1300,25,8,46,460-920,700,45,54,female
1300,25,8,46,460-920,700,45,55,female
1300,25,8,46,460-920,700,45,56,female
1300,25,8,46,460-920,700,45,57,female
1300,25,8,46,460-920,700,45,58,female
1300,25,8,46,460-920,700,45,59,female
1300,25,8,46,460-920,700,45,60,female
1300,25,8,46,460-920,700,45,61,female
1300,25,8,46,460-920,700,45,62,female
1300,25,8,46,460-920,700,45,63,female
1300,25,8,46,460-920,700,45,64,female
1300,25,8,46,460-920,700,45,65,female
1300,25,8,46,460-920,700,45,66,female
1300,25,8,46,460-920,700,45,67,female
1300,25,8,46,460-920,700,45,68,female
1300,25,8,46,460-920,700,45,69,female
1300,25,8,46,460-920,700,45,70,female
1300,25,8,57,460-920,700,45,71,female
1300,25,8,57,460-920,700,45,72,female
1300,25,8,57,460-920,700,45,73,female
1300,25,8,57,460-920,700,45,74,female
1300,25,8,57,460-920,700,45,75,female
1300,25,8,57,460-920,700,45,76,female
1300,25,8,57,460-920,700,45,77,female
1300,25,8,57,460-920,700,45,78,female
1300,25,8,57,460-920,700,45,79,female
1300,25,8,57,460-920,700,45,80,female
1300,25,8,57,460-920,700,45,81,female
1300,25,8,57,460-920,700,45,82,female
1300,25,8,57,460-920,700,45,83,female
1300,25,8,57,460-920,700,45,84,female
1300,25,8,57,460-920,700,45,85,female
1300,25,8,57,460-920,700,45,86,female
1300,25,8,57,460-920,700,45,87,female
1300,25,8,57,460-920,700,45,88,female
1300,25,8,57,460-920,700,45,89,female
1300,25,8,57,460-920,700,45,90,female
1300,25,8,57,460-920,700,45,91,female
1300,25,8,57,460-920,700,45,92,female
1300,25,8,57,460-920,700,45,93,female
1300,25,8,57,460-920,700,45,94,female
